menu_name,karbo,protein,sayur,bahan,energy_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sodium_mg
Nasi tim + Ikan Mujahir / mujair goreng + Wortel rebus,Nasi tim,Ikan Mujahir / mujair goreng,Wortel rebus,"Nasi tim, Ikan Mujahir / mujair goreng, Wortel rebus",564.0,51.0,32.3,24.8,1.3,95.0
Ubi Cilembu + Ikan Mujahir / mujair goreng + Sayur lebui,Ubi Cilembu,Ikan Mujahir / mujair goreng,Sayur lebui,"Ubi Cilembu, Ikan Mujahir / mujair goreng, Sayur lebui",666.0,50.9,56.8,24.7,9.1,179.0
"Nasi rames + Ayam goreng poineer, dada + brokoli , matang",Nasi rames,"Ayam goreng poineer, dada","brokoli , matang","Nasi rames, Ayam goreng poineer, dada, brokoli , matang",473.2,50.9,21.6,19.1,3.0,280.0
"Nasi rames + Ayam goreng kalasan, paha + brokoli , matang",Nasi rames,"Ayam goreng kalasan, paha","brokoli , matang","Nasi rames, Ayam goreng kalasan, paha, brokoli , matang",453.2,50.9,22.3,16.6,3.0,456.0
"Rujak lontong + Ayam goreng sukabumi, dada + Karedok,sayur",Rujak lontong,"Ayam goreng sukabumi, dada","Karedok,sayur","Rujak lontong, Ayam goreng sukabumi, dada, Karedok,sayur",579.0,50.9,39.8,24.8,1.4,278.0
Nasi / Nasi Putih + Ikan Mujahir / mujair goreng + Wortel kukus,Nasi / Nasi Putih,Ikan Mujahir / mujair goreng,Wortel kukus,"Nasi / Nasi Putih, Ikan Mujahir / mujair goreng, Wortel kukus",633.0,50.9,48.1,24.8,1.3,98.0
"Rujak lontong + Ayam goreng pasundan, dada + Wortel kukus",Rujak lontong,"Ayam goreng pasundan, dada",Wortel kukus,"Rujak lontong, Ayam goreng pasundan, dada, Wortel kukus",526.0,50.9,33.7,21.9,1.1,321.0
"Rujak lontong + Ayam goreng sukabumi, dada + Sayur lebui",Rujak lontong,"Ayam goreng sukabumi, dada",Sayur lebui,"Rujak lontong, Ayam goreng sukabumi, dada, Sayur lebui",551.0,50.8,38.2,22.1,5.7,402.0
lontong + Ikan Mujahir / mujair goreng + Wortel kukus,lontong,Ikan Mujahir / mujair goreng,Wortel kukus,"lontong, Ikan Mujahir / mujair goreng, Wortel kukus",597.0,50.7,40.1,24.7,2.3,97.0
Nasi merah + Ikan Mujahir / mujair goreng + Wortel kukus,Nasi merah,Ikan Mujahir / mujair goreng,Wortel kukus,"Nasi merah, Ikan Mujahir / mujair goreng, Wortel kukus",602.0,50.7,40.8,24.9,1.4,102.0
Ubi Cilembu + Ikan Mujahir / mujair goreng + Kangkung tondano,Ubi Cilembu,Ikan Mujahir / mujair goreng,Kangkung tondano,"Ubi Cilembu, Ikan Mujahir / mujair goreng, Kangkung tondano",645.0,50.6,52.7,24.3,7.7,85.0
"Ubi jalar tinta / kemayung + Ikan Mujahir / mujair goreng + brokoli , matang",Ubi jalar tinta / kemayung,Ikan Mujahir / mujair goreng,"brokoli , matang","Ubi jalar tinta / kemayung, Ikan Mujahir / mujair goreng, brokoli , matang",547.2,50.6,27.5,24.5,7.2,70.0
Nasi / Nasi Putih + Ikan Mujahir / mujair goreng + Wortel rebus,Nasi / Nasi Putih,Ikan Mujahir / mujair goreng,Wortel rebus,"Nasi / Nasi Putih, Ikan Mujahir / mujair goreng, Wortel rebus",624.0,50.6,46.1,24.7,1.0,96.0
"Rujak lontong + Ayam goreng sukabumi, dada + Kangkung tondano",Rujak lontong,"Ayam goreng sukabumi, dada",Kangkung tondano,"Rujak lontong, Ayam goreng sukabumi, dada, Kangkung tondano",530.0,50.5,34.1,21.7,4.3,308.0
"Jagung titi + Ayam goreng pasundan, dada + brokoli , matang",Jagung titi,"Ayam goreng pasundan, dada","brokoli , matang","Jagung titi, Ayam goreng pasundan, dada, brokoli , matang",643.2,50.5,81.7,11.4,3.8,15.0
Tapai singkong + Ikan Mujahir / mujair goreng + Sayur lebui,Tapai singkong,Ikan Mujahir / mujair goreng,Sayur lebui,"Tapai singkong, Ikan Mujahir / mujair goreng, Sayur lebui",649.0,50.4,52.7,24.8,7.7,178.0
"Nasi rames + Ayam goreng sukabumi, dada + Anyang, sayur",Nasi rames,"Ayam goreng sukabumi, dada","Anyang, sayur","Nasi rames, Ayam goreng sukabumi, dada, Anyang, sayur",525.0,50.4,30.4,21.3,5.4,555.0
lontong + Ikan Mujahir / mujair goreng + Wortel rebus,lontong,Ikan Mujahir / mujair goreng,Wortel rebus,"lontong, Ikan Mujahir / mujair goreng, Wortel rebus",588.0,50.4,38.1,24.6,2.0,95.0
"Nasi rames + Ayam goreng pasundan, dada + Karedok,sayur",Nasi rames,"Ayam goreng pasundan, dada","Karedok,sayur","Nasi rames, Ayam goreng pasundan, dada, Karedok,sayur",493.0,50.4,33.9,16.5,1.4,265.0
Nasi merah + Ikan Mujahir / mujair goreng + Wortel rebus,Nasi merah,Ikan Mujahir / mujair goreng,Wortel rebus,"Nasi merah, Ikan Mujahir / mujair goreng, Wortel rebus",593.0,50.4,38.8,24.8,1.1,100.0
"Nasi rames + Ayam goreng pasundan, dada + Sayur lebui",Nasi rames,"Ayam goreng pasundan, dada",Sayur lebui,"Nasi rames, Ayam goreng pasundan, dada, Sayur lebui",465.0,50.3,32.3,13.8,5.7,389.0
Tapai singkong + Ikan Mujahir / mujair goreng + Kangkung tondano,Tapai singkong,Ikan Mujahir / mujair goreng,Kangkung tondano,"Tapai singkong, Ikan Mujahir / mujair goreng, Kangkung tondano",628.0,50.1,48.6,24.4,6.3,84.0
"Jagung titi + Ayam goreng poineer, dada + brokoli , matang",Jagung titi,"Ayam goreng poineer, dada","brokoli , matang","Jagung titi, Ayam goreng poineer, dada, brokoli , matang",692.2,50.0,81.6,17.1,3.8,15.0
"Jagung titi + Ayam goreng kalasan, paha + brokoli , matang",Jagung titi,"Ayam goreng kalasan, paha","brokoli , matang","Jagung titi, Ayam goreng kalasan, paha, brokoli , matang",672.2,50.0,82.3,14.6,3.8,191.0
Ubi jalar tinta / kemayung kukus + Ikan Mujahir / mujair goreng + Sayur lebui,Ubi jalar tinta / kemayung kukus,Ikan Mujahir / mujair goreng,Sayur lebui,"Ubi jalar tinta / kemayung kukus, Ikan Mujahir / mujair goreng, Sayur lebui",645.0,49.9,52.3,24.7,6.8,179.0
"Nasi rames + Ayam goreng poineer, dada + Karedok,sayur",Nasi rames,"Ayam goreng poineer, dada","Karedok,sayur","Nasi rames, Ayam goreng poineer, dada, Karedok,sayur",542.0,49.9,33.8,22.2,1.4,265.0
"Nasi rames + Ayam goreng kalasan, paha + Karedok,sayur",Nasi rames,"Ayam goreng kalasan, paha","Karedok,sayur","Nasi rames, Ayam goreng kalasan, paha, Karedok,sayur",522.0,49.9,34.5,19.7,1.4,441.0
"Nasi rames + Ayam goreng poineer, dada + Sayur lebui",Nasi rames,"Ayam goreng poineer, dada",Sayur lebui,"Nasi rames, Ayam goreng poineer, dada, Sayur lebui",514.0,49.8,32.2,19.5,5.7,389.0
"Nasi rames + Ayam goreng kalasan, paha + Sayur lebui",Nasi rames,"Ayam goreng kalasan, paha",Sayur lebui,"Nasi rames, Ayam goreng kalasan, paha, Sayur lebui",494.0,49.8,32.9,17.0,5.7,565.0
Ubi Cilembu + Ikan Mujahir / mujair goreng + Wortel kukus,Ubi Cilembu,Ikan Mujahir / mujair goreng,Wortel kukus,"Ubi Cilembu, Ikan Mujahir / mujair goreng, Wortel kukus",639.0,49.8,52.6,24.7,4.5,98.0
"Rujak lontong + Ayam goreng sukabumi, dada + Wortel kukus",Rujak lontong,"Ayam goreng sukabumi, dada",Wortel kukus,"Rujak lontong, Ayam goreng sukabumi, dada, Wortel kukus",524.0,49.7,34.0,22.1,1.1,321.0
Ubi jalar tinta / kemayung kukus + Ikan Mujahir / mujair goreng + Kangkung tondano,Ubi jalar tinta / kemayung kukus,Ikan Mujahir / mujair goreng,Kangkung tondano,"Ubi jalar tinta / kemayung kukus, Ikan Mujahir / mujair goreng, Kangkung tondano",624.0,49.6,48.2,24.3,5.4,85.0
Ubi jalar tinta / kemayung + Ikan Mujahir / mujair goreng + Sayur lebui,Ubi jalar tinta / kemayung,Ikan Mujahir / mujair goreng,Sayur lebui,"Ubi jalar tinta / kemayung, Ikan Mujahir / mujair goreng, Sayur lebui",588.0,49.5,38.1,24.9,9.9,179.0
"Nasi rames + Ayam goreng poineer, dada + Kangkung tondano",Nasi rames,"Ayam goreng poineer, dada",Kangkung tondano,"Nasi rames, Ayam goreng poineer, dada, Kangkung tondano",493.0,49.5,28.1,19.1,4.3,295.0
"Nasi rames + Ayam goreng kalasan, paha + Kangkung tondano",Nasi rames,"Ayam goreng kalasan, paha",Kangkung tondano,"Nasi rames, Ayam goreng kalasan, paha, Kangkung tondano",473.0,49.5,28.8,16.6,4.3,471.0
Ubi Cilembu + Ikan Mujahir / mujair goreng + Wortel rebus,Ubi Cilembu,Ikan Mujahir / mujair goreng,Wortel rebus,"Ubi Cilembu, Ikan Mujahir / mujair goreng, Wortel rebus",630.0,49.5,50.6,24.6,4.2,96.0
"Nasi rames + Ayam goreng pasundan, paha + Gado-gado",Nasi rames,"Ayam goreng pasundan, paha",Gado-gado,"Nasi rames, Ayam goreng pasundan, paha, Gado-gado",537.0,49.5,40.4,18.8,1.1,265.0
"Jagung titi + Ayam goreng pasundan, dada + Sayur lebui",Jagung titi,"Ayam goreng pasundan, dada",Sayur lebui,"Jagung titi, Ayam goreng pasundan, dada, Sayur lebui",684.0,49.4,92.3,11.8,6.5,124.0
"Jagung titi + Ayam goreng sukabumi, dada + brokoli , matang",Jagung titi,"Ayam goreng sukabumi, dada","brokoli , matang","Jagung titi, Ayam goreng sukabumi, dada, brokoli , matang",641.2,49.3,82.0,11.6,3.8,15.0
Tapai singkong + Ikan Mujahir / mujair goreng + Wortel kukus,Tapai singkong,Ikan Mujahir / mujair goreng,Wortel kukus,"Tapai singkong, Ikan Mujahir / mujair goreng, Wortel kukus",622.0,49.3,48.5,24.8,3.1,97.0
Ubi jalar tinta / kemayung + Ikan Mujahir / mujair goreng + Kangkung tondano,Ubi jalar tinta / kemayung,Ikan Mujahir / mujair goreng,Kangkung tondano,"Ubi jalar tinta / kemayung, Ikan Mujahir / mujair goreng, Kangkung tondano",567.0,49.2,34.0,24.5,8.5,85.0
"Nasi rames + Ayam goreng sukabumi, paha + brokoli , matang",Nasi rames,"Ayam goreng sukabumi, paha","brokoli , matang","Nasi rames, Ayam goreng sukabumi, paha, brokoli , matang",461.2,49.2,21.5,18.7,3.0,280.0
"Nasi rames + Ayam goreng sukabumi, dada + Karedok,sayur",Nasi rames,"Ayam goreng sukabumi, dada","Karedok,sayur","Nasi rames, Ayam goreng sukabumi, dada, Karedok,sayur",491.0,49.2,34.2,16.7,1.4,265.0
"Nasi rames + Ayam goreng sukabumi, dada + Sayur lebui",Nasi rames,"Ayam goreng sukabumi, dada",Sayur lebui,"Nasi rames, Ayam goreng sukabumi, dada, Sayur lebui",463.0,49.1,32.6,14.0,5.7,389.0
"Jagung titi + Ayam goreng pasundan, dada + Kangkung tondano",Jagung titi,"Ayam goreng pasundan, dada",Kangkung tondano,"Jagung titi, Ayam goreng pasundan, dada, Kangkung tondano",663.0,49.1,88.2,11.4,5.1,30.0
Tapai singkong + Ikan Mujahir / mujair goreng + Wortel rebus,Tapai singkong,Ikan Mujahir / mujair goreng,Wortel rebus,"Tapai singkong, Ikan Mujahir / mujair goreng, Wortel rebus",613.0,49.0,46.5,24.7,2.8,95.0
"Jagung muda,rebus + Ayam goreng pasundan, dada + Gado-gado","Jagung muda,rebus","Ayam goreng pasundan, dada",Gado-gado,"Jagung muda,rebus, Ayam goreng pasundan, dada, Gado-gado",525.0,49.0,52.0,12.9,1.9,5.0
Ubi jalar tinta / kemayung kukus + Ikan Mujahir / mujair goreng + Wortel kukus,Ubi jalar tinta / kemayung kukus,Ikan Mujahir / mujair goreng,Wortel kukus,"Ubi jalar tinta / kemayung kukus, Ikan Mujahir / mujair goreng, Wortel kukus",618.0,48.8,48.1,24.7,2.2,98.0
"Nasi gurih + Ayam goreng pasundan, dada + Gado-gado",Nasi gurih,"Ayam goreng pasundan, dada",Gado-gado,"Nasi gurih, Ayam goreng pasundan, dada, Gado-gado",573.0,48.7,47.7,19.7,1.8,296.0
"Jagung muda,rebus + Ayam goreng pasundan, dada + Cap cai / capcay / cap cay, sayur","Jagung muda,rebus","Ayam goreng pasundan, dada","Cap cai / capcay / cap cay, sayur","Jagung muda,rebus, Ayam goreng pasundan, dada, Cap cai / capcay / cap cay, sayur",485.0,48.7,35.2,16.0,1.4,410.0
"Nasi rames + Ayam goreng poineer, dada + Wortel kukus",Nasi rames,"Ayam goreng poineer, dada",Wortel kukus,"Nasi rames, Ayam goreng poineer, dada, Wortel kukus",487.0,48.7,28.0,19.5,1.1,308.0
"Nasi rames + Ayam goreng kalasan, paha + Wortel kukus",Nasi rames,"Ayam goreng kalasan, paha",Wortel kukus,"Nasi rames, Ayam goreng kalasan, paha, Wortel kukus",467.0,48.7,28.7,17.0,1.1,484.0
"Jagung titi + Ayam goreng kalasan, paha + Kangkung tondano",Jagung titi,"Ayam goreng kalasan, paha",Kangkung tondano,"Jagung titi, Ayam goreng kalasan, paha, Kangkung tondano",692.0,48.6,88.8,14.6,5.1,206.0
"Jagung muda,rebus + Ayam goreng poineer, dada + Gado-gado","Jagung muda,rebus","Ayam goreng poineer, dada",Gado-gado,"Jagung muda,rebus, Ayam goreng poineer, dada, Gado-gado",574.0,48.5,51.9,18.6,1.9,5.0
"Jagung muda,rebus + Ayam goreng kalasan, paha + Gado-gado","Jagung muda,rebus","Ayam goreng kalasan, paha",Gado-gado,"Jagung muda,rebus, Ayam goreng kalasan, paha, Gado-gado",554.0,48.5,52.6,16.1,1.9,181.0
Ubi jalar tinta / kemayung kukus + Ikan Mujahir / mujair goreng + Wortel rebus,Ubi jalar tinta / kemayung kukus,Ikan Mujahir / mujair goreng,Wortel rebus,"Ubi jalar tinta / kemayung kukus, Ikan Mujahir / mujair goreng, Wortel rebus",609.0,48.5,46.1,24.6,1.9,96.0
Ubi jalar tinta / kemayung + Ikan Mujahir / mujair goreng + Wortel kukus,Ubi jalar tinta / kemayung,Ikan Mujahir / mujair goreng,Wortel kukus,"Ubi jalar tinta / kemayung, Ikan Mujahir / mujair goreng, Wortel kukus",561.0,48.4,33.9,24.9,5.3,98.0
"Nasi gurih + Ayam goreng pasundan, dada + Cap cai / capcay / cap cay, sayur",Nasi gurih,"Ayam goreng pasundan, dada","Cap cai / capcay / cap cay, sayur","Nasi gurih, Ayam goreng pasundan, dada, Cap cai / capcay / cap cay, sayur",533.0,48.4,30.9,22.8,1.3,701.0
"Jagung titi + Ayam goreng sukabumi, paha + brokoli , matang",Jagung titi,"Ayam goreng sukabumi, paha","brokoli , matang","Jagung titi, Ayam goreng sukabumi, paha, brokoli , matang",680.2,48.3,81.5,16.7,3.8,15.0
"Rujak lontong + Ayam goreng pasundan, paha + brokoli , matang",Rujak lontong,"Ayam goreng pasundan, paha","brokoli , matang","Rujak lontong, Ayam goreng pasundan, paha, brokoli , matang",511.2,48.3,26.9,23.9,3.0,293.0
"Jagung titi + Ayam goreng pasundan, dada + Wortel kukus",Jagung titi,"Ayam goreng pasundan, dada",Wortel kukus,"Jagung titi, Ayam goreng pasundan, dada, Wortel kukus",657.0,48.3,88.1,11.8,1.9,43.0
"Jagung titi + Ayam goreng sukabumi, dada + Sayur lebui",Jagung titi,"Ayam goreng sukabumi, dada",Sayur lebui,"Jagung titi, Ayam goreng sukabumi, dada, Sayur lebui",682.0,48.2,92.6,12.0,6.5,124.0
"Nasi gurih + Ayam goreng kalasan, paha + Gado-gado",Nasi gurih,"Ayam goreng kalasan, paha",Gado-gado,"Nasi gurih, Ayam goreng kalasan, paha, Gado-gado",602.0,48.2,48.3,22.9,1.8,472.0
"Nasi rames + Ayam goreng sukabumi, paha + Karedok,sayur",Nasi rames,"Ayam goreng sukabumi, paha","Karedok,sayur","Nasi rames, Ayam goreng sukabumi, paha, Karedok,sayur",530.0,48.2,33.7,21.8,1.4,265.0
"Jagung muda,rebus + Ayam goreng poineer, dada + Cap cai / capcay / cap cay, sayur","Jagung muda,rebus","Ayam goreng poineer, dada","Cap cai / capcay / cap cay, sayur","Jagung muda,rebus, Ayam goreng poineer, dada, Cap cai / capcay / cap cay, sayur",534.0,48.2,35.1,21.7,1.4,410.0
"Jagung muda,rebus + Ayam goreng kalasan, paha + Cap cai / capcay / cap cay, sayur","Jagung muda,rebus","Ayam goreng kalasan, paha","Cap cai / capcay / cap cay, sayur","Jagung muda,rebus, Ayam goreng kalasan, paha, Cap cai / capcay / cap cay, sayur",514.0,48.2,35.8,19.2,1.4,586.0
"Nasi rames + Ayam goreng sukabumi, paha + Sayur lebui",Nasi rames,"Ayam goreng sukabumi, paha",Sayur lebui,"Nasi rames, Ayam goreng sukabumi, paha, Sayur lebui",502.0,48.1,32.1,19.1,5.7,389.0
Ubi jalar tinta / kemayung + Ikan Mujahir / mujair goreng + Wortel rebus,Ubi jalar tinta / kemayung,Ikan Mujahir / mujair goreng,Wortel rebus,"Ubi jalar tinta / kemayung, Ikan Mujahir / mujair goreng, Wortel rebus",552.0,48.1,31.9,24.8,5.0,96.0
"Jagung titi + Ayam goreng pasundan, dada + Wortel rebus",Jagung titi,"Ayam goreng pasundan, dada",Wortel rebus,"Jagung titi, Ayam goreng pasundan, dada, Wortel rebus",648.0,48.0,86.1,11.7,1.6,41.0
"Jagung titi + Ayam goreng sukabumi, dada + Kangkung tondano",Jagung titi,"Ayam goreng sukabumi, dada",Kangkung tondano,"Jagung titi, Ayam goreng sukabumi, dada, Kangkung tondano",661.0,47.9,88.5,11.6,5.1,30.0
"Nasi rames + Ayam goreng sukabumi, paha + Kangkung tondano",Nasi rames,"Ayam goreng sukabumi, paha",Kangkung tondano,"Nasi rames, Ayam goreng sukabumi, paha, Kangkung tondano",481.0,47.8,28.0,18.7,4.3,295.0
"Jagung muda,rebus + Ayam goreng sukabumi, dada + Gado-gado","Jagung muda,rebus","Ayam goreng sukabumi, dada",Gado-gado,"Jagung muda,rebus, Ayam goreng sukabumi, dada, Gado-gado",523.0,47.8,52.3,13.1,1.9,5.0
"Jagung titi + Ayam goreng kalasan, paha + Wortel kukus",Jagung titi,"Ayam goreng kalasan, paha",Wortel kukus,"Jagung titi, Ayam goreng kalasan, paha, Wortel kukus",686.0,47.8,88.7,15.0,1.9,219.0
"Jagung kuning pipil, rebus + Ayam goreng pasundan, dada + Gado-gado","Jagung kuning pipil, rebus","Ayam goreng pasundan, dada",Gado-gado,"Jagung kuning pipil, rebus, Ayam goreng pasundan, dada, Gado-gado",537.0,47.8,50.1,15.7,1.8,5.0
